area,construction_time,floor,intro,price,title,zoning
88m²,2015年建造,低层(共26层),"
                    永丰乐城  
                    新郑-新郑龙湖-祥云路,近鸿鹄路",80,紧邻沙窝里地铁口 永丰乐城 现担任销售经理 欢迎咨询,3室2厅
104m²,2014年建造,低层(共25层),"
                    康桥溪棠  
                    新郑-新郑龙湖-祥安路",90,康桥溪棠104平，一楼带院，近地铁口，单价8600，全明采光,3室2厅
88m²,2014年建造,低层(共26层),"
                    法兰原著  
                    新郑-新郑龙湖-祥安路,近郑新路",100,法兰原著89平精装修边户，送70平精装地下室业主急售！,3室2厅
95m²,2018年建造,低层(共29层),"
                    绿地香湖湾  
                    航空港-航空港区-梅河路,近黄海路",73,港区外国语学校旁绿地香湖湾内部团购价7xxx,3室2厅
125m²,2015年建造,低层(共25层),"
                    康桥溪棠  
                    新郑-新郑龙湖-祥安路",105,电梯房 105万 满二唯一住房 125平 诚心出售 价格可议,3室2厅
129m²,2014年建造,低层(共27层),"
                    正商瑞钻  
                    新郑-新郑龙湖-文昌路,近双湖大道",110,靓 地铁口旁 正商瑞钻 精装修大3室 送南花园 单价8500,3室2厅
117m²,2019年建造,低层(共24层),"
                    浩创梧桐溪水湾  
                    新郑-新郑龙湖-中华路",99,3室2厅2卫 3万定金三年后一次性付清,3室2厅
115m²,2016年建造,低层(共28层),"
                    远洋风景居  
                    新郑-新郑城区-107国道",92,远洋风景 特价房7xxx 精装修交付 品质大盘,3室2厅
89m²,2017年建造,低层(共26层),"
                    正商智慧城智园  
                    新郑-新郑龙湖-正商大道,近郑绕高速",85,正商智慧城千亩大盘 新出小三房 业主急售 低于市场价 挨学校,3室2厅
88m²,2015年建造,低层(共26层),"
                    永威望湖郡  
                    新郑-新郑城区-望湖路,近华夏大道",86,航空区 双鹤湖CBD 88平 精装交付 永威品质,3室2厅
128m²,2018年建造,低层(共26层),"
                    永威望湖郡  
                    新郑-新郑城区-望湖路,近华夏大道",115,（店长力荐）双鹤湖旁  航空港区 首付五万定房 永威望湖郡！,3室2厅
89m²,2014年建造,低层(共28层),"
                    康桥原溪里2号院  
                    新郑-新郑龙湖-祥安路",76,原溪里地铁500米 方便出行 康桥楼盘 优美绿化,3室2厅
115m²,2015年建造,低层(共27层),"
                    龙湖上公馆  
                    新郑-新郑龙湖-祥和路,近滨湖路",90,龙湖湿地公园旁上公馆 精装修 拎包入住 全款房 急售,3室2厅
124m²,2015年建造,低层(共33层),"
                    正商红河谷  
                    新郑-新郑龙湖-107国道",100,正商红河谷 户型方正 两卧朝南大三房 捡漏价 随时看房,3室2厅
88m²,2015年建造,低层(共33层),"
                    正商智慧城博园  
                    新郑-新郑龙湖-正商大道,近郑绕高速",83,紫荆山路 正商智慧城 小三室便宜出售。随时看房,3室2厅
117m²,2016年建造,低层(共30层),"
                    坤达祥龙城  
                    新郑-新郑龙湖-祥云路89号",155,临地铁口  送地下室135平 送花园20平 155万包税,3室2厅
115m²,2016年建造,低层(共30层),"
                    基正唐宁1號  
                    新郑-新郑龙湖-新郑快速通道",88,唐宁一号，边户大三房，好楼层，准现房，有本无税，随时看房,3室2厅
140m²,2014年建造,低层(共33层),"
                    富田兴龙湾  
                    新郑-新郑龙湖-郑新路,近泰山路",120,更好的一楼带院儿，南北双院，赠送入户花园，税满有本随时看房,3室2厅
125m²,2014年建造,低层(共33层),"
                    正商红河谷  
                    新郑-新郑龙湖-107国道",105,正商红河谷 出门沙窝里地铁 绿化优美 紧挨小学 出行方便,3室2厅
89m²,2020年建造,低层(共32层),"
                    紫荆半岛东郡  
                    新郑-新郑龙湖-紫荆山南路,近祥云路",70,紫荆山南路 送车位 地铁口 成熟商圈 双气小区 出行方便,3室2厅
88m²,2014年建造,低层(共33层),"
                    基正唐宁1號  
                    新郑-新郑龙湖-新郑快速通道",78,唐宁一号 带三个露台的小三房 精装修拎包入住 无贷款,3室2厅
115m²,2020年建造,低层(共32层),"
                    正商兰庭华府  
                    新郑-新郑城区-新郑快速通道,近智慧路",101,龙湖镇 地铁口 南五环旁 经典户型 正商大盘 随时看房,3室2厅
118m²,2020年建造,低层(共30层),"
                    永丰乐城  
                    新郑-新郑龙湖-祥云路,近鸿鹄路",105,均价8800 南龙湖沙窝李地铁口 永丰乐城公园里,3室2厅
125m²,2013年建造,低层(共34层),"
                    正商红河谷  
                    新郑-新郑龙湖-107国道",103,品牌小区！大开发商！地铁口！门口外国语小学！看房方便！随时过,3室2厅
110m²,2015年建造,低层(共32层),"
                    康桥九溪郡  
                    新郑-新郑龙湖-祥安路,近郑新快速通道",98,康桥九溪郡  3室2厅电梯房  98万送家具家电 业主急售,3室2厅
129m²,2014年建造,低层(共34层),"
                    正商红河谷  
                    新郑-新郑龙湖-107国道",101,急急急 红河谷 南北通透户型 阳光充足 近地铁 价格优美,3室2厅
129m²,2014年建造,低层(共30层),"
                    正商瑞钻  
                    新郑-新郑龙湖-文昌路,近双湖大道",105,地铁口500米正商130平包税看房子方便,3室2厅
128m²,2015年建造,低层(共33层),"
                    康桥九溪郡  
                    新郑-新郑龙湖-祥安路,近郑新快速通道",100,（真实）低于市场价十万！康桥大三房127平仅售100万！,3室2厅
128m²,2015年建造,低层(共34层),"
                    正商红河谷  
                    新郑-新郑龙湖-107国道",109,正商红河谷双气现房 暖气已供  南北通透  看房方便 地铁口,3室2厅
126m²,2015年建造,低层(共33层),"
                    正商红河谷  
                    新郑-新郑龙湖-107国道",105,双地铁口 地暖入户 舒适三房 价格美丽 看房方便 业主急售,3室2厅
